T,K,Type,Market,Model,Err,IV_Mkt,IV_Model
0.076,400.0,PUT,13.62,13.79,0.16,0.4318,0.4356
0.076,425.0,CALL,13.62,13.71,0.09,0.4205,0.4225
0.076,435.0,CALL,10.15,10.23,0.08,0.418,0.42
0.076,440.0,CALL,8.7,8.79,0.09,0.4171,0.4193
0.076,450.0,CALL,6.35,6.41,0.06,0.4172,0.4189
0.076,460.0,CALL,4.6,4.63,0.03,0.419,0.42
0.076,465.0,CALL,3.9,3.93,0.03,0.42,0.421
0.076,475.0,CALL,2.81,2.83,0.01,0.4238,0.4244
0.076,485.0,CALL,2.04,2.05,0.01,0.4286,0.4293
0.076,490.0,CALL,1.73,1.75,0.01,0.4315,0.4323
0.076,500.0,CALL,1.26,1.29,0.03,0.4371,0.4396
0.076,510.0,CALL,0.93,0.98,0.05,0.4442,0.4485
0.076,515.0,CALL,0.8,0.86,0.05,0.4482,0.4534
0.076,525.0,CALL,0.6,0.67,0.06,0.4562,0.464
0.076,530.0,CALL,0.53,0.6,0.07,0.4601,0.4696
0.095,300.0,PUT,1.06,1.03,-0.03,0.5956,0.5922
0.095,315.0,PUT,1.54,1.57,0.03,0.5591,0.5614
0.095,320.0,PUT,1.75,1.8,0.06,0.5473,0.5512
0.095,330.0,PUT,2.27,2.37,0.1,0.5259,0.5315
0.095,340.0,PUT,3.0,3.12,0.12,0.5073,0.513
0.095,345.0,PUT,3.4,3.59,0.19,0.4963,0.5044
0.095,355.0,PUT,4.55,4.76,0.21,0.4811,0.4885
0.095,365.0,PUT,6.05,6.31,0.26,0.4668,0.4747
0.095,370.0,PUT,6.97,7.26,0.29,0.4605,0.4686
0.095,380.0,PUT,9.25,9.58,0.33,0.4496,0.4578
0.095,390.0,PUT,12.23,12.53,0.31,0.4421,0.4489
0.095,395.0,PUT,13.98,14.27,0.29,0.4389,0.4451
0.095,420.0,CALL,18.27,18.54,0.27,0.4261,0.4315
0.095,425.0,CALL,16.18,16.44,0.27,0.4244,0.4297
0.095,435.0,CALL,12.57,12.79,0.21,0.4225,0.427
0.095,445.0,CALL,9.65,9.82,0.17,0.4215,0.4254
0.095,450.0,CALL,8.4,8.57,0.17,0.4209,0.425
0.095,460.0,CALL,6.4,6.48,0.08,0.4227,0.4249
0.095,470.0,CALL,4.8,4.87,0.07,0.4236,0.4258
0.095,475.0,CALL,4.2,4.22,0.02,0.426,0.4267
0.095,485.0,CALL,3.15,3.16,0.01,0.4286,0.4292
0.095,495.0,CALL,2.39,2.38,-0.01,0.4332,0.4328
0.095,500.0,CALL,2.08,2.07,-0.0,0.4353,0.435
0.095,510.0,CALL,1.58,1.58,-0.0,0.4404,0.4403
0.095,520.0,CALL,1.21,1.22,0.0,0.4464,0.4465
0.095,525.0,CALL,1.06,1.07,0.01,0.4492,0.45
0.114,290.0,PUT,1.25,1.01,-0.24,0.611,0.587
0.114,295.0,PUT,1.39,1.17,-0.22,0.5985,0.5784
0.114,305.0,PUT,1.73,1.55,-0.18,0.5742,0.5611
0.114,315.0,PUT,2.17,2.04,-0.13,0.552,0.5441
0.114,320.0,PUT,2.44,2.34,-0.1,0.5415,0.5358
0.114,330.0,PUT,3.1,3.06,-0.04,0.5216,0.5199
0.114,340.0,PUT,4.0,4.01,0.01,0.5047,0.5052
0.114,345.0,PUT,4.55,4.59,0.04,0.4969,0.4983
0.114,355.0,PUT,5.9,6.0,0.1,0.4828,0.4857
0.114,365.0,PUT,7.65,7.81,0.16,0.4705,0.4746
0.114,370.0,PUT,8.68,8.88,0.21,0.4645,0.4696
0.114,380.0,PUT,11.2,11.44,0.24,0.4554,0.4607
0.114,390.0,PUT,14.32,14.59,0.27,0.4479,0.4532
0.114,395.0,PUT,16.12,16.4,0.28,0.4445,0.4499
0.114,420.0,CALL,20.77,21.12,0.35,0.4314,0.4377
0.114,425.0,CALL,18.65,18.99,0.34,0.4298,0.436
0.114,435.0,CALL,14.93,15.21,0.29,0.4278,0.4332
0.114,445.0,CALL,11.82,12.06,0.24,0.4266,0.4313
0.114,450.0,CALL,10.5,10.7,0.2,0.4265,0.4306
0.114,460.0,CALL,8.25,8.37,0.12,0.4271,0.4299
0.114,470.0,CALL,6.45,6.51,0.06,0.4285,0.43
0.114,475.0,CALL,5.7,5.73,0.03,0.4295,0.4303
0.114,485.0,CALL,4.45,4.43,-0.02,0.4321,0.4315
0.114,495.0,CALL,3.48,3.42,-0.05,0.4353,0.4335
0.114,500.0,CALL,3.08,3.01,-0.06,0.4372,0.4348
0.114,510.0,CALL,2.42,2.34,-0.08,0.4416,0.4379
0.114,515.0,CALL,2.15,2.06,-0.09,0.444,0.4398
0.114,525.0,CALL,1.71,1.62,-0.09,0.4494,0.4441
0.191,290.0,PUT,2.83,2.28,-0.55,0.5668,0.5395
0.191,295.0,PUT,3.1,2.61,-0.49,0.5571,0.5346
0.191,305.0,PUT,3.8,3.39,-0.41,0.5411,0.5251
0.191,315.0,PUT,4.65,4.36,-0.29,0.5257,0.516
0.191,320.0,PUT,5.15,4.93,-0.22,0.5186,0.5117
0.191,330.0,PUT,6.35,6.25,-0.1,0.506,0.5034
0.191,340.0,PUT,7.85,7.87,0.02,0.4954,0.4958
0.191,345.0,PUT,8.7,8.8,0.1,0.49,0.4923
0.191,355.0,PUT,10.68,10.94,0.26,0.4805,0.4856
0.191,365.0,PUT,13.07,13.46,0.39,0.4726,0.4796
0.191,370.0,PUT,14.43,14.89,0.46,0.4688,0.4768
0.191,380.0,PUT,17.52,18.07,0.55,0.4628,0.4716
0.191,385.0,PUT,19.27,19.85,0.57,0.4604,0.4693
0.191,395.0,PUT,23.12,23.75,0.63,0.4557,0.4649
0.191,420.0,CALL,29.38,30.13,0.75,0.4458,0.4563
0.191,425.0,CALL,27.2,27.93,0.73,0.4446,0.4549
0.191,435.0,CALL,23.23,23.91,0.69,0.4427,0.4524
0.191,445.0,CALL,19.77,20.36,0.58,0.4419,0.4503
0.191,450.0,CALL,18.2,18.75,0.55,0.4414,0.4494
0.191,460.0,CALL,15.43,15.84,0.42,0.4415,0.4479
0.191,470.0,CALL,13.0,13.33,0.33,0.4414,0.4467
0.191,475.0,CALL,11.95,12.2,0.25,0.442,0.4462
0.191,485.0,CALL,10.05,10.21,0.16,0.4427,0.4455
0.191,495.0,CALL,8.45,8.52,0.07,0.4439,0.4452
0.191,500.0,CALL,7.75,7.77,0.02,0.4447,0.4451
0.191,510.0,CALL,6.55,6.46,-0.09,0.4473,0.4452
0.191,515.0,CALL,6.0,5.89,-0.11,0.4481,0.4454
0.191,525.0,CALL,5.05,4.88,-0.17,0.4502,0.4459
0.267,290.0,PUT,5.25,3.99,-1.26,0.5657,0.5252
0.267,300.0,PUT,6.3,5.06,-1.24,0.5535,0.5189
0.267,320.0,PUT,9.0,7.88,-1.12,0.5316,0.5073
0.267,340.0,PUT,12.77,11.81,-0.97,0.5142,0.4971
0.267,350.0,PUT,15.15,14.25,-0.9,0.5071,0.4925
0.267,370.0,PUT,21.02,20.22,-0.8,0.4957,0.4844
0.267,390.0,PUT,28.5,27.75,-0.75,0.4871,0.4776
0.267,400.0,PUT,32.9,32.12,-0.78,0.4841,0.4746
0.267,430.0,CALL,34.2,33.5,-0.7,0.4754,0.4672
0.267,450.0,CALL,26.88,26.05,-0.83,0.4734,0.4634
0.267,460.0,CALL,23.75,22.86,-0.89,0.4728,0.4619
0.267,480.0,CALL,18.5,17.46,-1.04,0.4731,0.4593
0.267,490.0,CALL,16.3,15.2,-1.1,0.4735,0.4584
0.267,510.0,CALL,12.68,11.45,-1.22,0.4757,0.4569
0.267,530.0,CALL,9.82,8.57,-1.25,0.4781,0.4562
0.36,290.0,PUT,7.67,6.42,-1.25,0.55,0.5207
0.36,310.0,PUT,10.57,9.62,-0.95,0.5302,0.5124
0.36,330.0,PUT,14.52,13.87,-0.66,0.5152,0.505
0.36,335.0,PUT,15.68,15.11,-0.56,0.5117,0.5033
0.36,345.0,PUT,18.23,17.82,-0.4,0.5055,0.5
0.36,355.0,PUT,21.12,20.86,-0.27,0.5004,0.497
0.36,360.0,PUT,22.7,22.49,-0.21,0.4981,0.4955
0.36,370.0,PUT,26.15,26.02,-0.13,0.4942,0.4927
0.36,380.0,PUT,29.95,29.89,-0.06,0.4908,0.4901
0.36,385.0,PUT,31.98,31.95,-0.02,0.4891,0.4889
0.36,395.0,PUT,36.33,36.34,0.01,0.4864,0.4866
0.36,400.0,PUT,38.65,38.66,0.01,0.4854,0.4855
0.36,425.0,CALL,43.55,43.84,0.29,0.4775,0.4805
0.36,435.0,CALL,39.5,39.72,0.22,0.4766,0.4788
0.36,440.0,CALL,37.58,37.77,0.19,0.476,0.478
0.36,450.0,CALL,34.0,34.11,0.11,0.4753,0.4764
0.36,460.0,CALL,30.75,30.74,-0.01,0.4751,0.475
0.36,465.0,CALL,29.23,29.17,-0.06,0.475,0.4744
0.36,475.0,CALL,26.38,26.22,-0.15,0.4748,0.4732
0.36,485.0,CALL,23.82,23.53,-0.29,0.4753,0.4721
0.36,490.0,CALL,22.62,22.28,-0.35,0.4754,0.4715
0.36,500.0,CALL,20.43,19.95,-0.47,0.476,0.4706
0.36,510.0,CALL,18.43,17.84,-0.58,0.4767,0.4698
0.36,515.0,CALL,17.52,16.86,-0.66,0.4774,0.4694
0.36,525.0,CALL,15.82,15.05,-0.77,0.4785,0.4687
0.36,530.0,CALL,15.02,14.22,-0.81,0.4789,0.4684
0.44,300.0,PUT,11.27,10.44,-0.83,0.5321,0.5176
0.44,320.0,PUT,15.23,14.76,-0.46,0.5182,0.5115
0.44,330.0,PUT,17.57,17.33,-0.25,0.512,0.5087
0.44,350.0,PUT,23.2,23.32,0.12,0.5021,0.5035
0.44,370.0,PUT,30.1,30.52,0.42,0.4945,0.4989
0.44,380.0,PUT,34.08,34.57,0.5,0.4917,0.4968
0.44,400.0,PUT,43.08,43.61,0.54,0.4878,0.493
0.44,430.0,CALL,47.27,48.12,0.85,0.4803,0.4881
0.44,440.0,CALL,43.35,44.14,0.79,0.4794,0.4866
0.44,460.0,CALL,36.45,36.99,0.54,0.479,0.484
0.44,480.0,CALL,30.55,30.84,0.29,0.479,0.4818
0.44,490.0,CALL,27.98,28.11,0.13,0.4795,0.4808
0.44,510.0,CALL,23.45,23.28,-0.17,0.4807,0.479
0.44,520.0,CALL,21.48,21.16,-0.32,0.4815,0.4782
0.536,290.0,PUT,12.68,11.43,-1.24,0.5428,0.5228
0.536,310.0,PUT,16.75,15.87,-0.88,0.5297,0.5178
0.536,320.0,PUT,19.15,18.47,-0.68,0.524,0.5154
0.536,340.0,PUT,24.8,24.46,-0.34,0.5149,0.5111
0.536,360.0,PUT,31.62,31.54,-0.08,0.5081,0.5072
0.536,370.0,PUT,35.52,35.5,-0.03,0.5057,0.5054
0.536,390.0,PUT,44.27,44.24,-0.03,0.5024,0.5021
0.536,420.0,CALL,59.25,59.45,0.2,0.4961,0.4978
0.536,430.0,CALL,55.12,55.23,0.1,0.4956,0.4965
0.536,450.0,CALL,47.62,47.53,-0.1,0.4949,0.4941
0.536,460.0,CALL,44.25,44.03,-0.22,0.4948,0.493
0.536,480.0,CALL,38.2,37.69,-0.51,0.4953,0.4909
0.536,500.0,CALL,33.0,32.16,-0.84,0.4964,0.4891
0.536,510.0,CALL,30.68,29.68,-0.99,0.4971,0.4883
0.536,530.0,CALL,26.5,25.23,-1.27,0.4985,0.4868
0.612,300.0,PUT,16.5,15.97,-0.53,0.5297,0.5227
0.612,310.0,PUT,18.85,18.52,-0.33,0.5246,0.5206
0.612,330.0,PUT,24.27,24.38,0.11,0.5156,0.5167
0.612,345.0,PUT,29.07,29.45,0.38,0.5103,0.5141
0.612,350.0,PUT,30.82,31.27,0.44,0.5089,0.5132
0.612,360.0,PUT,34.58,35.1,0.53,0.5067,0.5116
0.612,370.0,PUT,38.6,39.19,0.59,0.5047,0.51
0.612,375.0,PUT,40.75,41.34,0.59,0.5041,0.5093
0.612,385.0,PUT,45.25,45.81,0.56,0.503,0.5078
0.612,390.0,PUT,47.6,48.15,0.55,0.5025,0.5071
0.612,400.0,PUT,52.53,53.0,0.48,0.5018,0.5058
0.612,425.0,CALL,61.77,62.59,0.81,0.4962,0.5027
0.612,430.0,CALL,59.77,60.53,0.75,0.4962,0.5021
0.612,440.0,CALL,55.92,56.57,0.65,0.4959,0.501
0.612,450.0,CALL,52.33,52.84,0.52,0.4959,0.5
0.612,455.0,CALL,50.6,51.06,0.46,0.4959,0.4994
0.612,465.0,CALL,47.33,47.64,0.32,0.496,0.4985
0.612,475.0,CALL,44.3,44.43,0.13,0.4965,0.4975
0.612,480.0,CALL,42.83,42.89,0.07,0.4966,0.4971
0.612,490.0,CALL,40.08,39.96,-0.11,0.4971,0.4962
0.612,500.0,CALL,37.48,37.22,-0.26,0.4975,0.4954
0.612,505.0,CALL,36.27,35.91,-0.37,0.498,0.495
0.612,515.0,CALL,33.98,33.41,-0.56,0.4989,0.4943
0.612,520.0,CALL,32.83,32.23,-0.6,0.4988,0.4939
0.612,530.0,CALL,30.75,29.97,-0.78,0.4998,0.4932
0.785,295.0,PUT,20.43,19.9,-0.53,0.5351,0.5291
0.785,300.0,PUT,21.7,21.28,-0.42,0.5329,0.5283
0.785,310.0,PUT,24.43,24.22,-0.2,0.5288,0.5267
0.785,320.0,PUT,27.4,27.4,-0.0,0.5252,0.5252
0.785,325.0,PUT,29.0,29.07,0.07,0.5238,0.5245
0.785,335.0,PUT,32.35,32.59,0.24,0.5209,0.5231
0.785,345.0,PUT,35.97,36.35,0.37,0.5185,0.5217
0.785,350.0,PUT,37.88,38.31,0.44,0.5174,0.5211
0.785,360.0,PUT,41.92,42.41,0.49,0.5158,0.5198
0.785,370.0,PUT,46.22,46.74,0.51,0.5146,0.5186
0.785,375.0,PUT,48.47,48.99,0.51,0.514,0.518
0.785,385.0,PUT,53.2,53.65,0.45,0.5135,0.5169
0.785,390.0,PUT,55.65,56.06,0.41,0.5133,0.5164
0.785,400.0,PUT,60.75,61.05,0.3,0.5131,0.5153
0.785,425.0,CALL,72.75,73.49,0.74,0.5076,0.5128
0.785,430.0,CALL,70.78,71.47,0.7,0.5075,0.5124
0.785,440.0,CALL,67.03,67.58,0.55,0.5076,0.5115
0.785,450.0,CALL,63.42,63.87,0.44,0.5076,0.5106
0.785,455.0,CALL,61.72,62.08,0.36,0.5077,0.5102
0.785,465.0,CALL,58.42,58.65,0.22,0.5079,0.5094
0.785,475.0,CALL,55.35,55.38,0.03,0.5084,0.5086
0.785,480.0,CALL,53.88,53.81,-0.06,0.5087,0.5082
0.785,490.0,CALL,51.03,50.79,-0.23,0.5091,0.5075
0.785,500.0,CALL,48.33,47.93,-0.39,0.5095,0.5068
0.785,505.0,CALL,47.05,46.56,-0.49,0.5099,0.5065
0.785,515.0,CALL,44.6,43.92,-0.68,0.5106,0.5058
0.785,520.0,CALL,43.4,42.65,-0.75,0.5107,0.5055
0.785,530.0,CALL,41.15,40.22,-0.93,0.5115,0.5049
0.861,300.0,PUT,23.5,23.54,0.04,0.5301,0.5306
0.861,310.0,PUT,26.38,26.63,0.25,0.5267,0.5292
0.861,330.0,PUT,32.83,33.47,0.64,0.5208,0.5265
0.861,350.0,PUT,40.3,41.2,0.9,0.5168,0.5241
0.861,360.0,PUT,44.42,45.39,0.97,0.5154,0.5229
0.861,380.0,PUT,53.45,54.43,0.98,0.5136,0.5208
0.861,400.0,PUT,63.52,64.29,0.77,0.5134,0.5188
0.861,420.0,CALL,78.6,80.02,1.42,0.5073,0.517
0.861,440.0,CALL,70.88,72.11,1.23,0.5071,0.5153
0.861,460.0,CALL,63.92,64.9,0.97,0.5073,0.5137
0.861,470.0,CALL,60.77,61.55,0.77,0.5079,0.513
0.861,490.0,CALL,54.9,55.32,0.42,0.5088,0.5116
0.861,500.0,CALL,52.17,52.43,0.25,0.5093,0.5109
0.861,520.0,CALL,47.22,47.07,-0.16,0.5107,0.5097
0.938,290.0,PUT,22.57,22.74,0.17,0.5323,0.5341
0.938,300.0,PUT,25.3,25.74,0.44,0.5284,0.5327
0.938,320.0,PUT,31.5,32.38,0.88,0.5225,0.5302
0.938,340.0,PUT,38.67,39.88,1.2,0.5182,0.5278
0.938,350.0,PUT,42.65,43.95,1.3,0.5167,0.5268
0.938,370.0,PUT,51.33,52.71,1.39,0.5146,0.5247
0.938,390.0,PUT,60.98,62.29,1.31,0.5137,0.5228
0.938,400.0,PUT,66.17,67.37,1.19,0.5139,0.5219
0.938,430.0,CALL,78.5,80.29,1.79,0.5079,0.5194
0.938,450.0,CALL,71.17,72.78,1.61,0.5077,0.5179
0.938,460.0,CALL,67.83,69.28,1.45,0.508,0.5172
0.938,480.0,CALL,61.6,62.73,1.13,0.5087,0.5158
0.938,490.0,CALL,58.7,59.68,0.98,0.509,0.5152
0.938,510.0,CALL,53.38,53.99,0.62,0.5101,0.514
0.938,530.0,CALL,48.58,48.82,0.25,0.5113,0.5129
1.111,300.0,PUT,29.8,30.43,0.63,0.5315,0.537
1.111,340.0,PUT,44.25,45.45,1.2,0.524,0.5329
1.111,380.0,PUT,62.3,63.58,1.28,0.5211,0.5294
1.111,390.0,PUT,67.4,68.56,1.16,0.5212,0.5286
1.111,420.0,CALL,91.8,93.32,1.52,0.5171,0.5264
1.111,440.0,CALL,84.0,85.64,1.64,0.5153,0.5251
1.111,450.0,CALL,80.47,82.02,1.54,0.5153,0.5244
1.111,470.0,CALL,73.95,75.22,1.27,0.5158,0.5232
1.111,500.0,CALL,65.22,66.03,0.81,0.5168,0.5215
