Type,T,K,Mkt,Ana,Err_A,MC,Err_MC,IV_Mkt
PUT,0.947,6175.0,215.85000000000002,128.03,-87.82,128.03,-87.82,0.2247
PUT,0.947,6925.0,393.05,367.1,-25.95,367.1,-25.95,0.1836
CALL,0.947,6950.0,562.55,541.98,-20.57,541.98,-20.57,0.1813
CALL,0.947,7350.0,329.9,360.02,30.12,360.02,30.12,0.1597
CALL,0.947,7650.0,198.3,255.94,57.64,255.94,57.64,0.1462
CALL,0.947,7900.0,122.19999999999999,188.28,66.08,188.28,66.08,0.1381
PUT,1.043,5225.0,107.55000000000001,23.27,-84.28,23.27,-84.28,0.2733
PUT,1.043,5600.0,146.0,51.69,-94.31,51.69,-94.31,0.2532
PUT,1.043,6175.0,231.35,141.55,-89.8,141.55,-89.8,0.2238
PUT,1.043,6925.0,411.05,383.71,-27.34,383.71,-27.34,0.1847
CALL,1.043,6950.0,598.05,575.05,-23.0,575.05,-23.0,0.1829
CALL,1.043,7400.0,339.25,372.66,33.41,372.66,33.41,0.16
CALL,1.043,7700.0,209.5,270.28,60.78,270.28,60.78,0.1471
CALL,1.043,8000.0,120.55,191.06,70.51,191.06,70.51,0.1379
PUT,1.12,5225.0,115.9,27.15,-88.75,27.15,-88.75,0.2713
PUT,1.12,5700.0,169.1,69.83,-99.27,69.83,-99.27,0.2471
PUT,1.12,6200.0,249.7,157.81,-91.89,157.81,-91.89,0.2227
PUT,1.12,6925.0,427.0,396.52,-30.48,396.52,-30.48,0.1863
CALL,1.12,6950.0,626.3,600.09,-26.21,600.09,-26.21,0.1846
CALL,1.12,7325.0,405.85,426.87,21.02,426.87,21.02,0.166
CALL,1.12,7600.0,273.8,324.99,51.19,324.99,51.19,0.1536
CALL,1.12,7900.0,166.25,236.1,69.85,236.1,69.85,0.1429
CALL,1.12,8600.0,43.75,102.6,58.85,102.6,58.85,0.1306
PUT,1.366,5225.0,140.55,39.83,-100.72,39.83,-100.72,0.2663
PUT,1.366,5650.0,193.1,84.25,-108.85,84.25,-108.85,0.2469
PUT,1.366,6175.0,281.70000000000005,181.89,-99.81,181.89,-99.81,0.2236
PUT,1.366,6925.0,463.1,430.15,-32.95,430.15,-32.95,0.1883
CALL,1.366,6950.0,713.75,681.56,-32.19,681.56,-32.19,0.1879
CALL,1.366,7350.0,477.79999999999995,496.44,18.64,496.44,18.64,0.1697
CALL,1.366,7650.0,331.45,383.71,52.26,383.71,52.26,0.1574
CALL,1.366,7900.0,233.85,305.62,71.77,305.62,71.77,0.1488
CALL,1.366,8600.0,74.4,152.11,77.71,152.11,77.71,0.1336
PUT,1.867,5250.0,190.25,68.64,-121.61,68.64,-121.61,0.2595
PUT,1.867,5650.0,248.85000000000002,122.43,-126.42,122.43,-126.42,0.2442
PUT,1.867,6150.0,342.45,226.28,-116.17,226.28,-116.17,0.2257
PUT,1.867,6900.0,532.15,473.93,-58.22,473.93,-58.22,0.1973
CALL,1.867,6950.0,875.95,829.44,-46.51,829.44,-46.51,0.1937
CALL,1.867,7450.0,586.45,601.91,15.46,601.91,15.46,0.1743
CALL,1.867,7800.0,417.7,472.72,55.02,472.72,55.02,0.1622
CALL,1.867,8100.0,298.75,380.13,81.38,380.13,81.38,0.153
CALL,1.867,8600.0,158.2,258.72,100.52,258.72,100.52,0.1413
