T,K,Type,Market,Spread,Model,Err,IV_Mkt,IV_Model
0.273,6320.0,PUT,87.35,1.1,84.61,-2.74,0.22,0.2172
0.273,6480.0,PUT,109.5,1.0,108.65,-0.85,0.2037,0.2029
0.273,6610.0,PUT,134.2,1.0,132.99,-1.21,0.1917,0.1907
0.273,6715.0,PUT,156.95,1.5,156.62,-0.33,0.1808,0.1805
0.273,6820.0,PUT,187.0,0.8,184.68,-2.32,0.1717,0.17
0.273,6940.0,CALL,230.25,0.9,228.09,-2.16,0.1593,0.1578
0.273,7045.0,CALL,168.45,1.3,166.1,-2.35,0.1487,0.1471
0.273,7180.0,CALL,104.9,1.2,100.72,-4.18,0.1375,0.1343
0.273,7350.0,CALL,51.75,0.7,46.67,-5.08,0.1277,0.1227
0.273,7675.0,CALL,9.85,0.5,9.77,-0.08,0.1181,0.1179
0.312,5600.0,PUT,39.25,0.5,32.83,-6.42,0.285,0.2727
0.312,6100.0,PUT,73.6,0.6,70.05,-3.55,0.2383,0.2343
0.312,6575.0,PUT,140.65,0.7,139.42,-1.23,0.1948,0.1938
0.312,6740.0,PUT,176.85,0.9,176.92,0.07,0.1785,0.1786
0.312,6910.0,CALL,269.4,0.8,269.39,-0.01,0.1623,0.1623
0.312,7075.0,CALL,173.55,1.1,170.92,-2.63,0.1482,0.1465
0.312,7525.0,CALL,29.8,0.6,27.33,-2.47,0.1223,0.1192
0.367,5425.0,PUT,40.0,0.4,33.12,-6.88,0.2955,0.2824
0.367,5925.0,PUT,71.4,0.4,66.51,-4.89,0.2516,0.2459
0.367,6150.0,PUT,93.9,0.6,89.89,-4.01,0.2324,0.2286
0.367,6320.0,PUT,114.75,0.9,112.52,-2.23,0.2169,0.2151
0.367,6480.0,PUT,140.85,0.9,138.83,-2.02,0.2034,0.2019
0.367,6660.0,PUT,177.4,1.0,175.9,-1.5,0.1875,0.1865
0.367,6825.0,PUT,220.55,0.7,219.04,-1.51,0.1729,0.172
0.367,6990.0,CALL,251.7,1.2,248.88,-2.82,0.1589,0.1572
0.367,7160.0,CALL,160.7,0.8,155.49,-5.21,0.1458,0.1425
0.367,7325.0,CALL,95.1,0.6,87.88,-7.22,0.1355,0.1304
0.367,7675.0,CALL,23.4,0.4,21.55,-1.85,0.1219,0.1193
0.399,5275.0,PUT,38.15,0.5,31.03,-7.12,0.3053,0.2912
0.399,5775.0,PUT,65.45,0.5,60.83,-4.62,0.2615,0.2558
0.399,6100.0,PUT,95.55,0.5,92.3,-3.25,0.2347,0.2317
0.399,6275.0,PUT,117.05,0.7,115.07,-1.98,0.2198,0.2182
0.399,6440.0,PUT,143.05,0.7,141.47,-1.58,0.2062,0.2051
0.399,6565.0,PUT,166.4,0.8,165.43,-0.97,0.1955,0.1949
0.399,6675.0,PUT,191.35,0.7,189.96,-1.39,0.1866,0.1857
0.399,6785.0,PUT,219.15,0.9,218.37,-0.78,0.1769,0.1764
0.399,6885.0,PUT,250.25,1.1,248.25,-2.0,0.169,0.1678
0.399,6995.0,CALL,263.25,1.5,263.12,-0.13,0.1584,0.1584
0.399,7110.0,CALL,200.4,1.0,197.33,-3.07,0.1505,0.1487
0.399,7300.0,CALL,114.95,0.9,110.22,-4.73,0.1374,0.1343
0.399,8000.0,CALL,7.5,0.4,8.16,0.66,0.1195,0.1214
0.445,5525.0,PUT,56.9,0.6,51.34,-5.56,0.2794,0.2717
0.445,6025.0,PUT,97.75,0.9,94.6,-3.15,0.239,0.2362
0.445,6260.0,PUT,127.1,0.8,125.04,-2.06,0.2203,0.2187
0.445,6440.0,PUT,156.75,0.9,154.61,-2.14,0.2064,0.205
0.445,6620.0,PUT,192.05,1.3,191.24,-0.81,0.1913,0.1908
0.445,6780.0,PUT,231.65,1.3,231.43,-0.22,0.1781,0.178
0.445,6970.0,CALL,304.55,1.5,302.14,-2.41,0.1639,0.1625
0.445,7140.0,CALL,208.6,1.4,204.12,-4.48,0.1515,0.149
0.445,7310.0,CALL,131.8,1.2,125.77,-6.03,0.1404,0.1367
0.445,7700.0,CALL,35.0,0.6,32.14,-2.86,0.1245,0.1215
0.541,5275.0,PUT,56.1,0.6,50.59,-5.51,0.2923,0.2845
0.541,5775.0,PUT,92.65,0.9,88.64,-4.01,0.2552,0.2514
0.541,6275.0,PUT,154.85,1.1,151.68,-3.17,0.2191,0.217
0.541,6775.0,PUT,261.85,1.7,258.66,-3.19,0.1826,0.181
0.541,7275.0,CALL,188.45,1.3,182.46,-5.99,0.1483,0.1451
0.541,7800.0,CALL,41.15,0.7,37.68,-3.47,0.1268,0.1236
0.618,5350.0,PUT,70.55,0.5,66.36,-4.19,0.2817,0.2769
0.618,5850.0,PUT,114.6,0.8,111.32,-3.28,0.2475,0.2449
0.618,6350.0,PUT,187.45,0.9,183.44,-4.01,0.2142,0.2119
0.618,6850.0,PUT,304.95,1.3,302.33,-2.62,0.1791,0.1779
0.618,7350.0,CALL,187.0,1.0,182.04,-4.96,0.1475,0.145
0.618,7875.0,CALL,45.5,0.8,42.3,-3.2,0.128,0.1252
0.651,5525.0,PUT,88.1,0.6,85.21,-2.89,0.2677,0.2649
0.651,6025.0,PUT,142.3,0.8,139.84,-2.46,0.2348,0.2332
0.651,6345.0,PUT,194.7,0.8,190.68,-4.02,0.2147,0.2124
0.651,6445.0,PUT,213.35,0.7,210.03,-3.32,0.2076,0.2058
0.651,6545.0,PUT,234.15,0.7,231.37,-2.78,0.2006,0.1992
0.651,6650.0,PUT,260.25,0.9,256.2,-4.05,0.1942,0.1922
0.651,6750.0,PUT,285.1,1.0,282.44,-2.66,0.1868,0.1856
0.651,6855.0,PUT,316.45,1.1,313.09,-3.36,0.1801,0.1786
0.651,6975.0,CALL,398.65,0.9,398.84,0.19,0.1705,0.1706
0.651,7080.0,CALL,336.1,1.4,335.35,-0.75,0.164,0.1637
0.651,7180.0,CALL,282.0,1.2,279.4,-2.6,0.1585,0.1573
0.651,7285.0,CALL,228.95,1.5,226.05,-2.9,0.1521,0.1508
0.651,7550.0,CALL,124.3,0.8,120.2,-4.1,0.1388,0.1365
0.694,5350.0,PUT,80.6,0.8,77.48,-3.12,0.2779,0.2747
0.694,5850.0,PUT,128.4,1.0,126.05,-2.35,0.2455,0.2438
0.694,6350.0,PUT,205.35,1.1,201.87,-3.48,0.2142,0.2123
0.694,6875.0,PUT,333.85,1.7,330.9,-2.95,0.1799,0.1786
0.694,7375.0,CALL,206.3,1.6,202.93,-3.37,0.1494,0.1479
0.694,7875.0,CALL,61.6,1.0,57.28,-4.32,0.1313,0.1282
0.79,5425.0,PUT,99.8,0.8,97.78,-2.02,0.2696,0.2678
0.79,5925.0,PUT,156.3,1.2,153.89,-2.41,0.2398,0.2383
0.79,6425.0,PUT,243.85,1.3,239.21,-4.64,0.2107,0.2085
0.79,6950.0,CALL,480.75,1.9,476.87,-3.88,0.1786,0.177
0.79,7450.0,CALL,213.25,1.5,209.15,-4.1,0.1507,0.1489
0.79,8000.0,CALL,61.3,1.2,57.72,-3.58,0.132,0.1295
0.867,5500.0,PUT,116.95,0.7,116.37,-0.58,0.2626,0.2622
0.867,6000.0,PUT,181.0,2.0,179.16,-1.84,0.2347,0.2337
0.867,6500.0,PUT,275.5,0.8,272.97,-2.53,0.2063,0.2051
0.867,7025.0,CALL,464.6,1.4,464.6,0.0,0.1753,0.1753
0.867,7525.0,CALL,209.0,1.4,208.59,-0.41,0.1494,0.1492
0.867,8150.0,CALL,54.35,0.5,51.79,-2.56,0.1317,0.1298
0.903,5750.0,PUT,149.3,0.8,150.77,1.47,0.2467,0.2477
0.903,6015.0,PUT,187.7,1.0,188.28,0.58,0.2325,0.2328
0.903,6160.0,PUT,211.7,0.8,212.35,0.65,0.2244,0.2247
0.903,6375.0,PUT,253.6,0.8,253.55,-0.05,0.2127,0.2127
0.903,6520.0,PUT,285.7,1.0,285.67,-0.03,0.2046,0.2046
0.903,6650.0,PUT,317.6,1.2,317.91,0.31,0.1972,0.1973
0.903,6800.0,PUT,358.6,1.0,359.75,1.15,0.1885,0.1889
0.903,6910.0,CALL,548.35,1.3,552.56,4.21,0.1812,0.1829
0.903,7025.0,CALL,476.3,1.0,480.62,4.32,0.1749,0.1766
0.903,7155.0,CALL,400.4,1.2,404.33,3.93,0.1681,0.1696
0.903,7280.0,CALL,333.45,1.1,336.66,3.21,0.1618,0.163
0.903,7425.0,CALL,261.6,1.2,266.01,4.41,0.1539,0.1557
0.903,7610.0,CALL,187.55,0.9,189.58,2.03,0.1463,0.1472
0.903,7810.0,CALL,125.0,0.8,125.59,0.59,0.1391,0.1394
0.903,8030.0,CALL,87.2,0.8,76.78,-10.42,0.1394,0.1333
0.903,8290.0,CALL,43.1,0.6,42.18,-0.92,0.13,0.1293
0.944,5550.0,PUT,130.35,1.1,133.2,2.85,0.2564,0.2584
0.944,6050.0,PUT,198.75,1.3,201.41,2.66,0.2295,0.2309
0.944,6550.0,PUT,299.95,1.5,301.66,1.71,0.2028,0.2036
0.944,7050.0,CALL,481.05,1.9,483.13,2.08,0.1758,0.1766
0.944,7575.0,CALL,215.15,1.9,218.07,2.92,0.1494,0.1506
0.944,8300.0,CALL,48.0,1.0,47.07,-0.93,0.131,0.1303
1.039,5725.0,PUT,164.85,1.7,169.49,4.64,0.2455,0.2482
1.039,6500.0,PUT,305.8,1.6,309.85,4.05,0.2061,0.2077
1.039,7100.0,CALL,484.95,2.1,494.76,9.81,0.1737,0.1772
1.039,7875.0,CALL,143.9,2.0,149.38,5.48,0.1411,0.1435
1.116,5500.0,PUT,147.05,1.1,152.39,5.34,0.2559,0.2593
1.116,6025.0,PUT,223.0,1.4,228.3,5.3,0.23,0.2326
1.116,6525.0,PUT,325.55,1.5,331.8,6.25,0.2051,0.2075
1.116,7025.0,CALL,560.55,2.1,570.22,9.67,0.1797,0.1831
1.116,7525.0,CALL,293.65,1.9,304.78,11.13,0.1563,0.1602
1.116,8600.0,CALL,40.65,0.7,42.16,1.51,0.1307,0.1319
