T,K,Market,Model,Err,IV_Mkt,IV_Model
0.397,6460.0,684.05,683.35,-0.7,0.2038,0.2043
0.397,6570.0,594.83,595.25,0.42,0.1952,0.1949
0.397,6680.0,508.91,510.3,1.39,0.1864,0.1855
0.397,6785.0,430.42,432.57,2.15,0.1779,0.1765
0.397,6885.0,360.26,362.1,1.83,0.1695,0.1684
0.397,6990.0,288.6,292.5,3.9,0.1605,0.1583
0.397,7090.0,229.2,231.28,2.08,0.1518,0.1506
0.397,7260.0,144.25,141.81,-2.44,0.1372,0.1387
0.397,7750.0,24.0,23.11,-0.89,0.1183,0.1195
0.444,5450.0,1601.37,1603.44,2.08,0.2887,0.2856
0.444,5950.0,1143.67,1141.1,-2.57,0.2423,0.2449
0.444,6225.0,902.77,900.38,-2.39,0.2211,0.223
0.444,6410.0,747.03,745.86,-1.17,0.2074,0.2082
0.444,6575.0,613.67,614.24,0.57,0.1952,0.1948
0.444,6740.0,487.16,489.61,2.45,0.1827,0.1813
0.444,6900.0,373.52,376.9,3.38,0.1703,0.1684
0.444,7080.0,260.2,262.33,2.13,0.1558,0.1546
0.444,7250.0,171.9,170.07,-1.83,0.1421,0.1431
0.444,7500.0,80.45,74.32,-6.13,0.1253,0.1296
0.444,8200.0,5.85,13.19,7.34,0.1379,0.1192
0.539,5575.0,1515.17,1515.45,0.29,0.27,0.2697
0.539,6050.0,1093.08,1089.33,-3.74,0.2322,0.2352
0.539,6550.0,680.42,678.71,-1.71,0.198,0.199
0.539,7050.0,326.65,330.2,3.55,0.1636,0.1618
0.539,7525.0,107.05,102.99,-4.06,0.1319,0.1344
0.539,8300.0,8.7,16.92,8.22,0.1377,0.1212
0.616,5600.0,1515.65,1516.06,0.42,0.2646,0.2642
0.616,6075.0,1100.53,1096.65,-3.88,0.2294,0.2322
0.616,6575.0,695.76,693.99,-1.78,0.1973,0.1983
0.616,7050.0,362.85,367.98,5.13,0.1672,0.1649
0.616,7550.0,125.4,124.65,-0.75,0.1365,0.137
0.616,8400.0,10.2,19.79,9.59,0.1392,0.1223
0.649,5675.0,1459.06,1458.4,-0.66,0.2576,0.2581
0.649,6175.0,1029.39,1025.0,-4.39,0.2226,0.2254
0.649,6375.0,866.68,862.64,-4.04,0.21,0.2123
0.649,6470.0,791.71,788.26,-3.45,0.2042,0.2061
0.649,6570.0,714.46,712.1,-2.35,0.1981,0.1993
0.649,6670.0,640.1,638.31,-1.79,0.192,0.1929
0.649,6765.0,570.23,570.6,0.37,0.1862,0.186
0.649,6870.0,496.79,498.73,1.93,0.1798,0.1789
0.649,6990.0,414.65,420.8,6.15,0.1724,0.1696
0.649,7090.0,352.95,359.7,6.75,0.1662,0.1632
0.649,7190.0,301.65,302.53,0.88,0.16,0.1596
0.649,7290.0,243.55,249.78,6.23,0.1538,0.151
0.649,7550.0,135.9,137.61,1.71,0.1389,0.138
0.693,5375.0,1740.44,1744.58,4.15,0.2808,0.2765
0.693,5875.0,1298.49,1295.84,-2.65,0.2421,0.244
0.693,6350.0,904.18,900.13,-4.05,0.2118,0.214
0.693,6850.0,529.88,532.22,2.34,0.1823,0.1812
0.693,7350.0,234.5,240.31,5.81,0.1529,0.1503
0.693,7825.0,77.05,76.83,-0.22,0.1311,0.1312
0.789,5400.0,1743.77,1747.9,4.14,0.2751,0.2714
0.789,5875.0,1330.54,1327.72,-2.82,0.2409,0.2428
0.789,6375.0,923.11,918.19,-4.92,0.2109,0.2134
0.789,6875.0,556.02,558.13,2.11,0.1836,0.1827
0.789,7350.0,274.5,282.74,8.24,0.1581,0.1547
0.789,7850.0,96.5,98.92,2.42,0.1359,0.1346
0.865,5425.0,1742.35,1747.43,5.08,0.2711,0.267
0.865,5900.0,1334.4,1332.7,-1.71,0.2388,0.2398
0.865,6400.0,932.8,929.5,-3.31,0.2102,0.2118
0.865,6900.0,571.9,575.67,3.77,0.1844,0.1829
0.865,7375.0,291.9,304.18,12.28,0.1607,0.1558
0.865,7875.0,110.25,116.48,6.23,0.1395,0.1363
0.901,5600.0,1599.15,1602.7,3.55,0.2578,0.2553
0.901,5930.0,1320.38,1319.67,-0.71,0.2368,0.2372
0.901,6110.0,1177.43,1171.38,-6.05,0.2263,0.2296
0.901,6310.0,1014.71,1012.64,-2.07,0.2154,0.2164
0.901,6445.0,915.31,909.55,-5.76,0.2082,0.2109
0.901,6600.0,795.24,795.72,0.47,0.2003,0.2001
0.901,6730.0,706.74,704.34,-2.4,0.1937,0.1947
0.901,6850.0,618.48,623.63,5.16,0.1878,0.1857
0.901,6965.0,540.2,549.83,9.63,0.1821,0.1784
0.901,7100.0,455.95,468.01,12.06,0.1756,0.1709
0.901,7210.0,391.7,405.52,13.82,0.1702,0.1649
0.901,7320.0,331.7,347.12,15.42,0.1649,0.159
0.901,7475.0,257.1,272.44,15.34,0.1577,0.1516
0.901,7680.0,175.6,189.04,13.44,0.1487,0.1429
0.901,7930.0,104.95,113.86,8.91,0.1398,0.1352
0.901,8090.0,73.8,81.24,7.44,0.1362,0.1318
0.942,5200.0,1960.46,1972.17,11.72,0.2867,0.2766
0.942,5700.0,1524.98,1528.61,3.63,0.2507,0.2484
0.942,6175.0,1134.29,1134.19,-0.11,0.2229,0.2229
0.942,6675.0,755.82,759.54,3.72,0.1973,0.1957
0.942,7175.0,429.45,442.87,13.42,0.1734,0.1684
0.942,7650.0,200.6,216.08,15.48,0.1521,0.1458
0.942,8600.0,26.85,39.05,12.2,0.1396,0.1278
1.038,5900.0,1387.93,1391.04,3.11,0.2382,0.2365
1.038,6600.0,845.87,851.02,5.15,0.2025,0.2004
1.038,7250.0,422.85,442.5,19.65,0.1734,0.1664
1.038,8000.0,121.7,138.31,16.61,0.1448,0.1371
1.114,5550.0,1700.11,1708.49,8.39,0.2584,0.2532
1.114,6075.0,1270.01,1273.15,3.14,0.2288,0.2273
1.114,6575.0,891.07,896.87,5.8,0.2047,0.2024
1.114,7050.0,569.75,586.55,16.8,0.1841,0.1782
1.114,7550.0,298.85,324.84,25.99,0.1639,0.1547
1.114,8600.0,43.75,59.7,15.95,0.141,0.1297
